SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
179965,9606.ENSP00000288135 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000346839,False,pp,0.776,,0.0,0.0,0.0,0.0,0.0,0.0,0.776
179971,9606.ENSP00000288135 (pp) 9606.ENSP00000321797,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000321797,False,pp,0.848,,0.0,0.0,0.0,0.0,0.168,0.65,0.521
179968,9606.ENSP00000288135 (pp) 9606.ENSP00000391826,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000391826,False,pp,0.833,,0.0,0.0,0.0,0.0,0.0,0.65,0.543
179977,9606.ENSP00000288135 (pp) 9606.ENSP00000334941,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000334941,False,pp,0.932,,0.0,0.0,0.0,0.0,0.299,0.9,0.111
179980,9606.ENSP00000288135 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000288135 (pp) 9606.ENSP00000379140,False,pp,0.974,,0.0,0.0,0.0,0.099,0.0,0.0,0.972
179989,9606.ENSP00000293441 (pp) 9606.ENSP00000340914,pp,9606.ENSP00000293441 (pp) 9606.ENSP00000340914,False,pp,0.552,,0.0,0.0,0.0,0.133,0.045,0.0,0.503
179995,9606.ENSP00000293894 (pp) 9606.ENSP00000375921,pp,9606.ENSP00000293894 (pp) 9606.ENSP00000375921,False,pp,0.688,,0.0,0.0,0.0,0.095,0.095,0.0,0.649
179998,9606.ENSP00000295550 (pp) 9606.ENSP00000359603,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000359603,False,pp,0.514,,0.0,0.0,0.0,0.048,0.0,0.4,0.217
180001,9606.ENSP00000295550 (pp) 9606.ENSP00000351807,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000351807,False,pp,0.565,,0.0,0.0,0.0,0.144,0.0,0.0,0.513
180007,9606.ENSP00000295550 (pp) 9606.ENSP00000364140,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000364140,False,pp,0.689,,0.0,0.0,0.0,0.337,0.0,0.4,0.282
180004,9606.ENSP00000295550 (pp) 9606.ENSP00000297848,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000297848,False,pp,0.607,,0.0,0.0,0.0,0.181,0.0,0.4,0.265
180010,9606.ENSP00000295550 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000346839,False,pp,0.736,,0.0,0.0,0.0,0.185,0.05,0.0,0.686
180013,9606.ENSP00000295550 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000355751,False,pp,0.799,,0.0,0.0,0.0,0.331,0.099,0.4,0.51
180019,9606.ENSP00000295550 (pp) 9606.ENSP00000304408,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000304408,False,pp,0.952,,0.0,0.0,0.0,0.613,0.0,0.4,0.812
180016,9606.ENSP00000295550 (pp) 9606.ENSP00000327336,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000327336,False,pp,0.806,,0.0,0.0,0.0,0.337,0.091,0.0,0.705
180022,9606.ENSP00000295550 (pp) 9606.ENSP00000297268,pp,9606.ENSP00000295550 (pp) 9606.ENSP00000297268,False,pp,0.968,,0.0,0.0,0.0,0.789,0.0,0.4,0.772
180025,9606.ENSP00000295927 (pp) 9606.ENSP00000321797,pp,9606.ENSP00000295927 (pp) 9606.ENSP00000321797,False,pp,0.783,,0.0,0.0,0.0,0.0,0.292,0.0,0.707
180028,9606.ENSP00000297261 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000379140,False,pp,0.516,,0.0,0.0,0.0,0.0,0.0,0.0,0.516
180034,9606.ENSP00000297261 (pp) 9606.ENSP00000312385,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000312385,False,pp,0.531,,0.0,0.0,0.0,0.0,0.0,0.0,0.531
180037,9606.ENSP00000297261 (pp) 9606.ENSP00000374205,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000374205,False,pp,0.531,,0.0,0.0,0.0,0.0,0.071,0.0,0.516
180043,9606.ENSP00000297261 (pp) 9606.ENSP00000330218,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000330218,False,pp,0.583,,0.0,0.0,0.0,0.081,0.0,0.0,0.565
180040,9606.ENSP00000297261 (pp) 9606.ENSP00000355718,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000355718,False,pp,0.533,,0.0,0.0,0.0,0.067,0.071,0.0,0.505
180046,9606.ENSP00000297261 (pp) 9606.ENSP00000344479,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000344479,False,pp,0.586,,0.0,0.0,0.0,0.0,0.0,0.0,0.586
180049,9606.ENSP00000297261 (pp) 9606.ENSP00000318650,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000318650,False,pp,0.609,,0.0,0.0,0.0,0.0,0.0,0.0,0.609
180055,9606.ENSP00000297261 (pp) 9606.ENSP00000400175,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000400175,False,pp,0.67,,0.0,0.0,0.0,0.047,0.071,0.0,0.658
180052,9606.ENSP00000297261 (pp) 9606.ENSP00000375921,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000375921,False,pp,0.614,,0.0,0.0,0.0,0.0,0.0,0.0,0.614
180058,9606.ENSP00000297261 (pp) 9606.ENSP00000340226,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000340226,False,pp,0.687,,0.0,0.0,0.0,0.0,0.071,0.0,0.677
180061,9606.ENSP00000297261 (pp) 9606.ENSP00000357206,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000357206,False,pp,0.703,,0.0,0.0,0.0,0.0,0.0,0.0,0.703
180067,9606.ENSP00000297261 (pp) 9606.ENSP00000302216,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000302216,False,pp,0.778,,0.0,0.0,0.0,0.093,0.102,0.0,0.75
180064,9606.ENSP00000297261 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000346839,False,pp,0.716,,0.0,0.0,0.0,0.0,0.0,0.0,0.716
180070,9606.ENSP00000297261 (pp) 9606.ENSP00000498748,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000498748,False,pp,0.806,,0.0,0.0,0.0,0.0,0.0,0.0,0.806
179050,9606.ENSP00000052754 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000379140,False,pp,0.608,,0.0,0.0,0.0,0.403,0.0,0.0,0.371
180073,9606.ENSP00000297261 (pp) 9606.ENSP00000323588,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000323588,False,pp,0.824,,0.0,0.0,0.0,0.0,0.0,0.0,0.824
180076,9606.ENSP00000297261 (pp) 9606.ENSP00000321797,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000321797,False,pp,0.954,,0.0,0.0,0.0,0.056,0.0,0.0,0.953
180082,9606.ENSP00000297261 (pp) 9606.ENSP00000496870,pp,9606.ENSP00000297261 (pp) 9606.ENSP00000496870,False,pp,0.992,,0.0,0.0,0.0,0.0,0.0,0.9,0.925
180085,9606.ENSP00000297268 (pp) 9606.ENSP00000392423,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000392423,False,pp,0.5,,0.0,0.0,0.0,0.067,0.0,0.0,0.487
180091,9606.ENSP00000297268 (pp) 9606.ENSP00000364140,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000364140,False,pp,0.702,,0.0,0.0,0.143,0.31,0.0,0.4,0.258
180088,9606.ENSP00000297268 (pp) 9606.ENSP00000355896,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000355896,False,pp,0.514,,0.0,0.0,0.0,0.072,0.067,0.0,0.484
180094,9606.ENSP00000297268 (pp) 9606.ENSP00000379140,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000379140,False,pp,0.727,,0.0,0.0,0.0,0.3,0.0,0.0,0.626
180097,9606.ENSP00000297268 (pp) 9606.ENSP00000416330,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000416330,False,pp,0.738,,0.0,0.0,0.0,0.194,0.068,0.0,0.68
180103,9606.ENSP00000297268 (pp) 9606.ENSP00000297848,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000297848,False,pp,0.788,,0.0,0.0,0.149,0.215,0.0,0.4,0.534
180100,9606.ENSP00000297268 (pp) 9606.ENSP00000351807,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000351807,False,pp,0.777,,0.0,0.0,0.0,0.234,0.0,0.0,0.722
179077,9606.ENSP00000052754 (pp) 9606.ENSP00000366246,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000366246,False,pp,0.612,,0.0,0.0,0.0,0.085,0.051,0.5,0.213
180106,9606.ENSP00000297268 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000355751,False,pp,0.858,,0.0,0.0,0.0,0.489,0.099,0.0,0.716
179083,9606.ENSP00000052754 (pp) 9606.ENSP00000359864,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000359864,False,pp,0.622,,0.0,0.0,0.0,0.044,0.051,0.5,0.266
180109,9606.ENSP00000297268 (pp) 9606.ENSP00000327336,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000327336,False,pp,0.938,,0.0,0.0,0.0,0.516,0.091,0.0,0.871
180115,9606.ENSP00000297268 (pp) 9606.ENSP00000304408,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000304408,False,pp,0.999,,0.0,0.0,0.076,0.999,0.229,0.9,0.966
180112,9606.ENSP00000297268 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000297268 (pp) 9606.ENSP00000346839,False,pp,0.982,,0.0,0.0,0.0,0.54,0.05,0.4,0.942
179089,9606.ENSP00000052754 (pp) 9606.ENSP00000266085,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000266085,False,pp,0.65,,0.0,0.0,0.0,0.349,0.045,0.0,0.482
180118,9606.ENSP00000297848 (pp) 9606.ENSP00000359603,pp,9606.ENSP00000297848 (pp) 9606.ENSP00000359603,False,pp,0.5,,0.0,0.0,0.0,0.057,0.0,0.4,0.187
179095,9606.ENSP00000052754 (pp) 9606.ENSP00000295550,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000295550,False,pp,0.657,,0.0,0.0,0.0,0.377,0.091,0.0,0.442
180121,9606.ENSP00000297848 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000297848 (pp) 9606.ENSP00000355751,False,pp,0.505,,0.0,0.0,0.0,0.18,0.099,0.0,0.384
180127,9606.ENSP00000297848 (pp) 9606.ENSP00000304408,pp,9606.ENSP00000297848 (pp) 9606.ENSP00000304408,False,pp,0.701,,0.0,0.0,0.134,0.27,0.0,0.4,0.306
180124,9606.ENSP00000297848 (pp) 9606.ENSP00000327336,pp,9606.ENSP00000297848 (pp) 9606.ENSP00000327336,False,pp,0.514,,0.0,0.0,0.0,0.179,0.091,0.0,0.401
179101,9606.ENSP00000052754 (pp) 9606.ENSP00000391826,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000391826,False,pp,0.698,,0.0,0.0,0.0,0.162,0.236,0.0,0.566
180130,9606.ENSP00000297848 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000297848 (pp) 9606.ENSP00000346839,False,pp,0.74,,0.0,0.0,0.0,0.111,0.05,0.0,0.717
179107,9606.ENSP00000052754 (pp) 9606.ENSP00000355751,pp,9606.ENSP00000052754 (pp) 9606.ENSP00000355751,False,pp,0.72,,0.0,0.0,0.0,0.302,0.099,0.0,0.591
180133,9606.ENSP00000297848 (pp) 9606.ENSP00000364140,pp,9606.ENSP00000297848 (pp) 9606.ENSP00000364140,False,pp,0.779,,0.0,0.0,0.0,0.232,0.0,0.4,0.558
180139,9606.ENSP00000299529 (pp) 9606.ENSP00000391826,pp,9606.ENSP00000299529 (pp) 9606.ENSP00000391826,False,pp,0.598,,0.0,0.0,0.0,0.05,0.0,0.0,0.595
