Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Donor,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,source_name,SRA Study,treatment_condition/type,treatment
SRR11652322,RNA-Seq,302,7865284376,PRJNA629496,SAMN14777101,2748426304,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",Triplication SNCA,SRX8213395,Triplication SNCA,GSM4506218,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:24:00Z,1,GSM4506218,Triplication SNCA_PDamp,SRP259307,PDamp,Aggregation
SRR11652323,RNA-Seq,302,7052104076,PRJNA629496,SAMN14777100,2457284642,iPSC-derived midbrain dopaminergic neurons,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Triplication SNCA,SRX8213396,Triplication SNCA,GSM4506219,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:22:00Z,1,GSM4506219,Triplication SNCA_MSAamp,SRP259307,MSAamp,Aggregation
SRR11652324,RNA-Seq,302,8871427878,PRJNA629496,SAMN14777099,3053401431,iPSC-derived midbrain dopaminergic neurons,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",AH17,SRX8213397,Control,GSM4506220,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:27:00Z,1,GSM4506220,Control_NSC,SRP259307,NSC,Control
SRR11652325,RNA-Seq,302,9155883792,PRJNA629496,SAMN14777098,3233468441,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",AH17,SRX8213398,Control,GSM4506221,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:26:00Z,1,GSM4506221,Control_WTPFF,SRP259307,WTPFF,Aggregation
SRR11652326,RNA-Seq,302,9195530956,PRJNA629496,SAMN14777097,3277198851,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",AH17,SRX8213399,Control,GSM4506222,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:30:00Z,1,GSM4506222,Control_PDamp,SRP259307,PDamp,Aggregation
SRR11652327,RNA-Seq,302,10078098474,PRJNA629496,SAMN14777096,3486663703,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",AH17,SRX8213400,Control,GSM4506223,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r1,2020-04-30T12:35:00Z,1,GSM4506223,Control_MSAamp,SRP259307,MSAamp,Aggregation
SRR11652328,RNA-Seq,302,8581532340,PRJNA629496,SAMN14777095,3016317324,iPSC-derived midbrain dopaminergic neurons,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",OX3,SRX8213401,Control,GSM4506224,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:27:00Z,1,GSM4506224,Control_NSC,SRP259307,NSC,Control
SRR11652329,RNA-Seq,302,10080199488,PRJNA629496,SAMN14777094,3525633502,iPSC-derived midbrain dopaminergic neurons,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",OX3,SRX8213402,Control,GSM4506225,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:31:00Z,1,GSM4506225,Control_WTPFF,SRP259307,WTPFF,Aggregation
SRR11652330,RNA-Seq,302,9914008888,PRJNA629496,SAMN14777093,3461133863,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",OX3,SRX8213403,Control,GSM4506226,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:34:00Z,1,GSM4506226,Control_PDamp,SRP259307,PDamp,Aggregation
SRR11652331,RNA-Seq,302,9983154204,PRJNA629496,SAMN14777092,3496116753,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",OX3,SRX8213404,Control,GSM4506227,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r2,2020-04-30T12:38:00Z,1,GSM4506227,Control_MSAamp,SRP259307,MSAamp,Aggregation
SRR11652332,RNA-Seq,302,8306005358,PRJNA629496,SAMN14777091,2894423181,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SFC840,SRX8213405,Control,GSM4506228,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:38:00Z,1,GSM4506228,Control_NSC,SRP259307,NSC,Control
SRR11652333,RNA-Seq,302,7776373160,PRJNA629496,SAMN14777119,2727563618,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SFC840,SRX8213406,Control,GSM4506229,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:31:00Z,1,GSM4506229,Control_WTPFF,SRP259307,WTPFF,Aggregation
SRR11652334,RNA-Seq,302,8464840446,PRJNA629496,SAMN14777118,2996875052,iPSC-derived midbrain dopaminergic neurons,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SFC840,SRX8213407,Control,GSM4506230,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:30:00Z,1,GSM4506230,Control_PDamp,SRP259307,PDamp,Aggregation
SRR11652335,RNA-Seq,302,9353733958,PRJNA629496,SAMN14777117,3230538160,iPSC-derived midbrain dopaminergic neurons,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SFC840,SRX8213408,Control,GSM4506231,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-02T00:00:00Z,r3,2020-04-30T12:35:00Z,1,GSM4506231,Control_MSAamp,SRP259307,MSAamp,Aggregation
