SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
170357,9606.ENSP00000248564 (pp) 9606.ENSP00000400175,pp,9606.ENSP00000248564 (pp) 9606.ENSP00000400175,False,pp,0.511,,0.0,0.0,0.0,0.048,0.0,0.5,0.057
170360,9606.ENSP00000248564 (pp) 9606.ENSP00000258302,pp,9606.ENSP00000248564 (pp) 9606.ENSP00000258302,False,pp,0.518,,0.0,0.0,0.0,0.0,0.049,0.5,0.069
170873,9606.ENSP00000320147 (pp) 9606.ENSP00000328547,pp,9606.ENSP00000320147 (pp) 9606.ENSP00000328547,False,pp,0.999,,0.0,0.0,0.0,0.169,0.79,0.5,0.997
170366,9606.ENSP00000248564 (pp) 9606.ENSP00000297313,pp,9606.ENSP00000248564 (pp) 9606.ENSP00000297313,False,pp,0.539,,0.0,0.0,0.0,0.048,0.049,0.5,0.102
170879,9606.ENSP00000322568 (pp) 9606.ENSP00000329170,pp,9606.ENSP00000322568 (pp) 9606.ENSP00000329170,False,pp,0.587,,0.0,0.0,0.0,0.083,0.125,0.0,0.527
170876,9606.ENSP00000320147 (pp) 9606.ENSP00000430432,pp,9606.ENSP00000320147 (pp) 9606.ENSP00000430432,False,pp,0.999,,0.042,0.0,0.0,0.102,0.812,0.9,0.985
170882,9606.ENSP00000322568 (pp) 9606.ENSP00000481486,pp,9606.ENSP00000322568 (pp) 9606.ENSP00000481486,False,pp,0.801,,0.0,0.0,0.0,0.0,0.8,0.0,0.048
170372,9606.ENSP00000248564 (pp) 9606.ENSP00000358513,pp,9606.ENSP00000248564 (pp) 9606.ENSP00000358513,False,pp,0.678,,0.0,0.0,0.0,0.0,0.12,0.65,0.0
170885,9606.ENSP00000323588 (pp) 9606.ENSP00000358677,pp,9606.ENSP00000323588 (pp) 9606.ENSP00000358677,False,pp,0.537,,0.0,0.0,0.0,0.0,0.0,0.0,0.537
170378,9606.ENSP00000248564 (pp) 9606.ENSP00000264218,pp,9606.ENSP00000248564 (pp) 9606.ENSP00000264218,False,pp,0.711,,0.0,0.0,0.0,0.0,0.0,0.5,0.446
