SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
186567,9606.ENSP00000429601 (pp) 9606.ENSP00000430024,pp,9606.ENSP00000429601 (pp) 9606.ENSP00000430024,False,pp,0.607,,0.0,0.0,0.051,0.049,0.592,0.0,0.06
186309,9606.ENSP00000262340 (pp) 9606.ENSP00000263321,pp,9606.ENSP00000262340 (pp) 9606.ENSP00000263321,False,pp,0.575,,0.0,0.0,0.0,0.075,0.0,0.0,0.559
186570,9606.ENSP00000430024 (pp) 9606.ENSP00000458570,pp,9606.ENSP00000430024 (pp) 9606.ENSP00000458570,False,pp,0.718,,0.0,0.0,0.052,0.482,0.464,0.0,0.057
186315,9606.ENSP00000263321 (pp) 9606.ENSP00000354610,pp,9606.ENSP00000263321 (pp) 9606.ENSP00000354610,False,pp,0.585,,0.0,0.0,0.0,0.0,0.0,0.0,0.585
186576,9606.ENSP00000430269 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000430269 (pp) 9606.ENSP00000458770,False,pp,0.663,,0.118,0.0,0.0,0.089,0.303,0.22,0.348
186324,9606.ENSP00000264039 (pp) 9606.ENSP00000416741,pp,9606.ENSP00000264039 (pp) 9606.ENSP00000416741,False,pp,0.554,,0.0,0.0,0.0,0.0,0.0,0.4,0.287
186330,9606.ENSP00000264039 (pp) 9606.ENSP00000352414,pp,9606.ENSP00000264039 (pp) 9606.ENSP00000352414,False,pp,0.834,,0.0,0.0,0.0,0.0,0.0,0.0,0.834
186585,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,pp,9606.ENSP00000431885 (pp) 9606.ENSP00000450565,False,pp,0.857,,0.0,0.0,0.0,0.075,0.048,0.65,0.591
186588,9606.ENSP00000458770 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000458770 (pp) 9606.ENSP00000500990,False,pp,0.679,,0.0,0.0,0.0,0.0,0.0,0.65,0.123
186339,9606.ENSP00000273814 (pp) 9606.ENSP00000479153,pp,9606.ENSP00000273814 (pp) 9606.ENSP00000479153,False,pp,0.632,,0.0,0.0,0.0,0.078,0.618,0.0,0.0
186345,9606.ENSP00000273814 (pp) 9606.ENSP00000342793,pp,9606.ENSP00000273814 (pp) 9606.ENSP00000342793,False,pp,0.766,,0.0,0.0,0.0,0.0,0.0,0.65,0.359
186351,9606.ENSP00000281031 (pp) 9606.ENSP00000317780,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000317780,False,pp,0.976,,0.0,0.0,0.0,0.73,0.845,0.0,0.482
186348,9606.ENSP00000281031 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000500990,False,pp,0.658,,0.0,0.0,0.0,0.0,0.0,0.65,0.063
186354,9606.ENSP00000281031 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000419087,False,pp,0.996,,0.0,0.0,0.0,0.219,0.811,0.944,0.607
186357,9606.ENSP00000281031 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000346196,False,pp,0.998,,0.0,0.0,0.0,0.172,0.932,0.944,0.556
186360,9606.ENSP00000281031 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.622,0.966,0.944,0.474
