Run,Assay Type,AvgSpotLen,Bases,batch,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,tissue
SRR36692441,RNA-Seq,300,9638997000,1,PRJNA1398870,SAMN54465258,2252153985,H4997 clone 6,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700280,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436067,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:31:00Z,1,GSM9436067,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692445,RNA-Seq,300,10225974900,3,PRJNA1398870,SAMN54465235,2455229911,H4997 WTRev,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700276,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436090,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436090,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692446,RNA-Seq,300,8866795200,2,PRJNA1398870,SAMN54465236,2043456805,H4997 WTRev,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX31700275,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436089,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436089,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692447,RNA-Seq,300,10264256400,1,PRJNA1398870,SAMN54465237,2427336589,H4997 WTRev,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700274,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436088,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:31:00Z,1,GSM9436088,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692448,RNA-Seq,300,9998490600,3,PRJNA1398870,SAMN54465262,2380128241,H4997 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX31700273,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436063,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436063,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692449,RNA-Seq,300,10558869000,2,PRJNA1398870,SAMN54465263,2484643394,H4997 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700272,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436062,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:34:00Z,1,GSM9436062,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692450,RNA-Seq,300,10473222300,1,PRJNA1398870,SAMN54465264,2469119972,H4997 clone 2,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700271,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436061,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436061,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692454,RNA-Seq,300,10367553000,3,PRJNA1398870,SAMN54465268,2424191872,H4997 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700267,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436057,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436057,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692455,RNA-Seq,300,7318087800,2,PRJNA1398870,SAMN54465269,1721849015,H4997 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX31700266,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436056,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436056,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692456,RNA-Seq,300,8342164500,1,PRJNA1398870,SAMN54465270,1937861021,H4997 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX31700265,GBA1 IVS/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436055,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436055,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692460,RNA-Seq,300,9518134800,3,PRJNA1398870,SAMN54465274,2248388370,H1112 clone 3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700261,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436051,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:33:00Z,1,GSM9436051,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692461,RNA-Seq,300,8788851900,2,PRJNA1398870,SAMN54465275,2093388099,H1112 clone 3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700260,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436050,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436050,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692462,RNA-Seq,300,10454781000,1,PRJNA1398870,SAMN54465276,2477689734,H1112 clone 3,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX31700259,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436049,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:30:00Z,1,GSM9436049,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692469,RNA-Seq,300,8670866400,3,PRJNA1398870,SAMN54465283,2064147272,H1112 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700252,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436042,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:29:00Z,1,GSM9436042,male,iPSC-neurons,SRP660051,iPSC-neurons
SRR36692470,RNA-Seq,300,9633447300,2,PRJNA1398870,SAMN54465284,2328282920,H1112 clone 1,midbrain dopaminergic neurons,UNIVERSITY OF WASHINGTON,missing,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX31700251,GBA1 +/+,uncalculated,uncalculated,missing,Illumina NovaSeq X Plus,GSM9436041,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2026-01-10T00:00:00Z,2026-01-06T12:33:00Z,1,GSM9436041,male,iPSC-neurons,SRP660051,iPSC-neurons
