ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0031345	negative regulation of cell projection organization	175	-0.4164380980538629	-1.926009079462046	9.441497916757256e-7	4.612565128082451e-5	3.2475854128144205e-05	3801	tags=34%, list=17%, signal=28%	RAPGEF2/TRPV4/PFN2/SEMA5B/ITM2C/EPHA7/EVL/CCP110/TRPC5/CARM1/DIP2B/RTN4R/LRIG2/ADCY6/SPOCK1/PRAG1/RTN4RL1/PLXNA3/DPYSL5/ULK1/HDAC2/SEMA4A/EPHB2/SEMA6C/ULK2/SEMA4G/CBFA2T2/EFNB3/SPP1/SYNGAP1/DPYSL3/RGMA/GDI1/DENND5A/SEMA4D/TBC1D30/WNT3/PRKCD/TESK1/EVI5L/RTN4RL2/PTPRG/PAFAH1B1/SEMA3A/PTPRS/SEMA5A/FYN/EFNB2/DRAXIN/DCC/STX1B/BCL11A/CRMP1/GRIN2B/NR2F1/SEMA6A/MAP2/DAB1/GFAP
GO:0099003	vesicle-mediated transport in synapse	211	-0.3966810785951967	-1.8769255190355905	9.403957169573332e-7	4.612565128082451e-5	3.2475854128144205e-05	4459	tags=34%, list=20%, signal=27%	VAC14/GIT2/HPCA/DNM1/AP3B2/TPRG1L/DRD4/TBC1D24/PPP3CB/ERC2/P2RX7/PFN2/SYT2/SYT1/CASK/STXBP5/SYNJ1/PPFIA2/NLGN4X/SYT12/CDH2/CDK5R1/AMPH/BIN1/SV2A/RAP1BL/HIP1/GRIK5/SNAP91/P2RY1/SLC17A7/CLSTN1/CPLX2/PCLO/PIP5K1C/ARHGDIA/UNC13A/OPHN1/ACTB/RIMS4/SYN3/OTOF/BLTP1/PCDH17/ATP2A2/RAB3A/PRKCG/NLGN3/PRKCB/NLGN2/BRAF/RPH3A/AAK1/NSG1/WNT7A/UNC13B/SYN1/VAMP2/BRSK1/BRSK2/SEPTIN5/ITSN1/AP2B1/CADPS/GSG1L/EFNB2/GIT1/STXBP1/STX1B/BSN/SLC4A8/ATP6V0A4
GO:0051604	protein maturation	461	0.3215070464786814	1.6476357469204748	9.60668533267214e-7	4.64488187734354e-5	3.270338783352415e-5	6937	tags=45%, list=32%, signal=31%	HSPA2/ANXA2/SERPINE1/IFI16/CASP4/PERP/GRPEL1/F3/PRKACB/NPPB/ERP27/MME/PLAU/PGK1/HPN/PARL/CISD3/ENO1/CTSZ/DNAJC19/LONP2/BAG2/THBS1/CTSL/THBD/TMEM260/HM13/SELENOF/FURIN/FKBP9/LIPT2/ADAMTS13/ISCA2/LMAN1/C1RL/HSPA4L/PSENEN/SIL1/F12/TLL1/PFDN6/IMMP2L/NGLY1/SDE2/PRNP/TOR1A/TLL2/HSPA9/SEC11C/P3H1/SDF2/ERO1A/GAS1/PPIE/TFR2/MAGEF1/CCT4/CCBE1/SDF2L1/F7/CTSH/PMPCB/PCSK1/NOL3/TSPAN15/CHCHD4/B2M/CLGN/SEC11A/PLAT/CAST/DNAJA2/DNAJB4/CCT6A/AHSA1/PDRG1/DFFA/PLAUR/TTC1/SHH/MIPEP/LMAN2L/DNAJC1/BACE2/RNF139/CDK20/PCSK6/PPID/PISD/CLPX/LGMN/PPIB/PPIL6/CD74/NAGLU/CIAO2A/GSN/PEX19/CCT8/DNAJA1/FADD/DISP1/TMPRSS2/SPCS1/ASPH/NAA20/P4HB/ZMYND10/SIRT4/PCSK4/SERPINF2/APH1B/NDUFAB1/PDCD5/PFDN1/HSPD1/CISD1/RIC3/CASP8/PDIA2/ADAM8/YIPF5/ZNG1E/DNAJC25/HSP90AB3P/CDC37L1/IMMP1L/DNAJB14/MYH9/CCT3/DNAJA4/HSPE1/TBCA/CCT5/DNAJC24/PRCP/ENPEP/NAA35/PCSK2/C1R/CASP10/ATP6AP2/HSPA8/QSOX1/ARL2/DNAJB1/ERP29/FAM111A/APLF/CASP7/FKBP10/MESD/CASP6/DNAJC2/OMA1/SPRTN/UBAC1/ADAM17/KLK6/TYSND1/NUDC/TASP1/PDIA3/HSPB1/TMEM208/PDIA6/SLC30A5/PFDN4/DNAJC3/TSPAN33/PFDN2/ADAM19/ISCA1/POFUT2/BOLA3/PPIL1/BCHE/YME1L1/CIAO1/DNAJB11/VBP1/RUNX1/GRN/MOGS/DNAJC21/FUT10/LYRM7/DNAJC7/HSPA14/WFS1/HSPA1B/YAE1/LRRK2/PTGES3L/HSPA4/CPE/ECEL1/CPD/ADAM10/CMA1/PPIC/TBCB/AFG3L2/PIDD1/CCT2/METAP2
GO:0044782	cilium organization	393	0.33460883049740225	1.7044351688754238	9.742656578168377e-7	4.662557076694866e-5	3.282783424888743e-5	6313	tags=43%, list=29%, signal=31%	ALPK1/ODAD2/SSX2IP/RILP/PLA2G3/RPGR/BBS12/SPEF2/LRRC43/ERICH3/RAB17/ABCC4/CLUAP1/CC2D2B/OFD1/NHERF1/CFAP298/SPAG1/ODAD4/ODAD3/SAXO1/TTC8/BBS4/SPAG17/BBS2/EHD4/ODAD1/JHY/TTC12/DYNC2LI1/WDR54/TTC29/RSPH9/IFT70A/DYNC2I1/DUSP23/MEIG1/CFAP91/DNAAF10/KIF19/PPP1R35/ATP6V1D/IFT25/DNAAF2/IFT74/MNS1/WDPCP/KIF27/TEKT5/BBOF1/LRRC61/TEKT2/DNAL1/CFAP70/CEP20/DNAH5/CFAP58/PARVA/ARL6/ATG5/TOGARAM1/DCDC2/CLXN/DNAI1/IFT56/UBXN10/DNAI2/NEDD9/TTC39C/PIBF1/CFAP65/IFT80/EHD2/VDAC3/GSN/CFAP221/CFAP74/IQUB/DNAAF3/HYLS1/CFAP61/MCIDAS/DNAI3/CIMAP3/DNAAF4/KIF3B/RABEP2/HOATZ/CFAP73/CFAP69/GMNC/CFAP161/ZMYND10/PIERCE1/NME5/SPAG6/CC2D2A/IQCB1/CFAP44/KLC3/TMEM80/GAS8/RSPH4A/IFT46/B9D1/ENO4/MAK/CIBAR2/DRC7/FBF1/CFAP46/PIERCE2/DRC1/IQCG/SDCCAG8/LRGUK/SPAG16/CEP41/TEKT1/RSPH1/LCA5/CCDC32/ARL3/IFT22/CDC14A/RFX2/CFAP43/AHI1/SPACA9/CFAP206/SPEF1/DNAAF1/CFAP47/TMEM138/ARL13B/NECTIN2/IFT70B/TMEM231/LCA5L/MAPK15/RP1L1/TXNDC15/CCDC113/WDR35/BBS5/DNAAF8/DNAAF6/DYNLT2B/FOXJ1/DNMBP/TCTN1/CCNO/IFT20/DNAAF11/TBC1D31/WDR11/DNAI4/CCDC40/RO60/SEPTIN9/BBIP1/CFAP157/IFT43/GALNT11/ARMC2/CFAP126/RAB23/ARF4/TMEM107/CIBAR1
GO:0061387	regulation of extent of cell growth	107	-0.4727297379091328	-2.026013029644139	9.847478175957746e-7	4.6651184490143266e-5	3.284586819561877e-5	4737	tags=49%, list=22%, signal=38%	LIMK1/ANAPC2/ZFYVE27/SEMA4C/TTL/DSCAM/RAB21/SEMA6B/BARHL2/SEMA5B/EPHA7/OLFM1/TRPC5/DIP2B/RTN4R/PLXNA4/PLXNA3/ULK1/MAPT/SEMA4A/ISLR2/SEMA6C/CDH4/MACF1/SIN3A/ULK2/SEMA4G/BMPR2/SPP1/CDKL5/RGMA/GDI1/NKX6-1/SEMA4D/WNT3/EIF4G2/L1CAM/PUM2/PAFAH1B1/SEMA3A/NRCAM/PTPRS/SEMA5A/GSK3B/DRAXIN/ADNP/DCC/EFNA5/MAP1B/RND2/SEMA6A/MAP2
GO:0043068	positive regulation of programmed cell death	469	0.3186647304800926	1.636255093632047	1.067423119580498e-6	5.0062144308325356e-5	3.524743501183182e-5	4045	tags=30%, list=18%, signal=25%	ANKRD1/GADD45B/ADM/SYK/ASCL1/HTR2A/RASSF6/PHLDA2/HOXA13/PDCD4/CCL2/ALDH1A2/ZC3H12A/IGFBP3/PMAIP1/CAV1/PAWR/IFIT2/LGALS1/FAM162A/TIMP3/RBCK1/NR3C1/F2RL1/GBP2/CTSC/CYP1B1/NHERF1/LTBR/B4GALT1/TP63/GAL/THBS1/CLEC7A/MSX1/CTSL/GATA6/TGFB2/EMILIN2/BNIP3/TGM2/NOS2/PTGS2/SAV1/GBP1/MSX2/ING5/MAP3K5/PLA2R1/LAPTM5/GBP5/HPGD/ZNF622/PRNP/TNFRSF12A/TP73/CD40/INHBA/PIP5KL1/NACC2/DDIT3/AGT/TNFSF12/IP6K2/RHOB/BMF/BCL6/HMOX1/TRADD/TXNIP/ANO6/IRF5/CTSV/SHQ1/WNT5A/HTATIP2/CTSH/GBP3/STK17A/FANK1/STK3/PLEKHF1/FOXA1/PHB1/BMP4/TSPO/UTP11/PYCARD/RGCC/PTRH2/SRPX/PPARG/PARK7/TMEM164/RPS6/DFFA/PTPN2/GPER1/ITGA4/MOAP1/TNFRSF10C/AIFM2/DUSP6/DLC1/SOD1/MAL/RIPK1/EEF1E1/PPID/STYXL1/CDKN1A/RPL11/NEUROD1/BOK/CD274/SIAH1/GSN/ITGB1/DEDD2/BNIP3L/PHLDA3/BECN1/SAP18/NQO1/SYCE3/PTPA/DNAJA1/FOXP1/DDX3X/FADD/ATF4/GADD45A/RACK1/RPL26/BCL10/ID3/NCK1/MMP2/CD248
GO:0030193	regulation of blood coagulation	57	0.5843685591762992	2.2660101542266475	1.1566698812829928e-6	5.2667783914730454e-5	3.708199711379406e-5	3209	tags=51%, list=15%, signal=44%	EDN1/ANXA2/SERPINE1/F3/CAV1/PROS1/PLAU/PDGFA/F2RL1/VKORC1/ADAMTS18/THBS1/CD9/CEACAM1/PRKG1/EMILIN2/THBD/F12/TFPI/ADTRP/VTN/ANO6/NFE2L2/F7/PLAT/SERPINB2/FOXA2/PLAUR/PDGFRA
GO:0019646	aerobic electron transport chain	76	0.5292869702617565	2.1686642306951764	1.2285919767331126e-6	5.5404772796906715e-5	3.900903877542282e-5	5518	tags=58%, list=25%, signal=43%	NDUFAF1/COX7A1/NDUFB4/UQCRHL/UQCR11/COX5B/COQ9/SDHD/NDUFA2/NDUFS3/NDUFV3/SDHAF2/NDUFA1/NDUFS5/NDUFS2/DLD/UQCRC2/ISCU/PARK7/NDUFB10/NDUFB3/NDUFB5/NDUFA8/SDHB/NDUFV1/NDUFB1/NDUFS7/UQCRQ/NDUFB6/NDUFAB1/COX7C/UQCRB/NDUFB9/COX6B1/NDUFA10/NDUFA6/NDUFS4/NDUFA3/NDUFA5/NDUFS6/NDUFC1/COX7B/COX7A2L/NDUFS1
GO:0006457	protein folding	192	0.3965739449130056	1.8467905987109021	1.3479953845083174e-6	5.972769303413683e-5	4.2052692862324605e-5	7505	tags=52%, list=34%, signal=35%	HSPA2/GRPEL1/NPPB/ERP27/DNAJC19/BAG2/SELENOF/FKBP9/LMAN1/HSPA4L/SIL1/PFDN6/NGLY1/TOR1A/HSPA9/P3H1/SDF2/ERO1A/PPIE/CCT4/SDF2L1/CHCHD4/B2M/CLGN/DNAJA2/DNAJB4/CCT6A/AHSA1/PDRG1/DFFA/TTC1/LMAN2L/DNAJC1/PPID/CLPX/PPIB/PPIL6/CD74/PEX19/CCT8/DNAJA1/P4HB/ZMYND10/PDCD5/PFDN1/HSPD1/RIC3/PDIA2/DNAJC25/HSP90AB3P/CDC37L1/DNAJB14/CCT3/DNAJA4/HSPE1/TBCA/CCT5/DNAJC24/HSPA8/QSOX1/ARL2/DNAJB1/ERP29/APLF/FKBP10/MESD/DNAJC2/NUDC/PDIA3/HSPB1/PDIA6/PFDN4/DNAJC3/PFDN2/POFUT2/PPIL1/DNAJB11/VBP1/GRN/MOGS/DNAJC21/FUT10/LYRM7/DNAJC7/HSPA14/WFS1/HSPA1B/PTGES3L/HSPA4/PPIC/TBCB/CCT2/PPIL3/ST13/CCT6B/PPIG/FKBP1B/NUDCD2/FKBP8/TRAP1
GO:0046394	carboxylic acid biosynthetic process	266	0.3629404804451897	1.770856583549197	1.7195439277821483e-6	7.398771579172729e-5	5.209279866202414e-5	4776	tags=35%, list=22%, signal=27%	PTGS1/PCBD1/EDN1/SLC27A2/SYK/PTGES2/PLA2G3/ABHD3/ALDH1A1/ALDH1A2/ALOX5AP/HSD3B7/TRIB3/GSTM4/AKR1A1/RDH10/CYP39A1/CYP27A1/CEACAM1/ELOVL3/MGST2/TBXAS1/ELOVL7/PDK4/OSBPL1A/PTGS2/KYNU/LPL/OXSM/LIAS/CBR1/ABCD2/PTGES/APIP/ACSM1/HOGA1/PLA2G4F/APOC1/XBP1/PECR/GAMT/ACOT8/ACADVL/DEGS1/ELOVL1/MALRD1/OAT/CBR4/ACSS1/HACD3/PYCARD/PAH/ALOX15B/BHMT/PARK7/PRKAA2/CTH/MGST3/AMACR/MRI1/MTHFD1L/STARD4/NAGS/PIBF1/MIR342/GSTM1/HSD17B8/CD74/THNSL2/OSBPL3/FADS2B/ENOPH1/PRKAG1/GSTP1/RBP1/NDUFAB1/PYCR2/ACSS2/MID1IP1/PRKAA1/PYCR1/GLS2/ASS1/ANXA1/PNPLA8/CYP1A1/SLC45A3/DHFR2/PSPH/SCP2/ALOX15/ASNSD1
