SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
34230,9606.ENSP00000301457 (pp) 9606.ENSP00000346196,pp,9606.ENSP00000301457 (pp) 9606.ENSP00000346196,False,pp,0.999,,0.0,0.0,0.0,0.401,0.938,0.967,0.808
33720,9606.ENSP00000215375 (pp) 9606.ENSP00000281031,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000281031,False,pp,0.755,,0.0,0.0,0.0,0.635,0.085,0.0,0.327
34233,9606.ENSP00000301457 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000301457 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.45,0.992,0.967,0.526
33723,9606.ENSP00000215375 (pp) 9606.ENSP00000389160,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000389160,False,pp,0.772,,0.0,0.0,0.0,0.676,0.0,0.0,0.326
34236,9606.ENSP00000301457 (pp) 9606.ENSP00000441126,pp,9606.ENSP00000301457 (pp) 9606.ENSP00000441126,False,pp,0.999,,0.0,0.0,0.0,0.512,0.825,0.967,0.722
33726,9606.ENSP00000215375 (pp) 9606.ENSP00000252711,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000252711,False,pp,0.867,,0.0,0.0,0.0,0.753,0.097,0.0,0.454
34239,9606.ENSP00000301457 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000301457 (pp) 9606.ENSP00000419087,False,pp,0.999,,0.0,0.0,0.0,0.23,0.905,0.967,0.856
33729,9606.ENSP00000215375 (pp) 9606.ENSP00000369176,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000369176,False,pp,0.887,,0.0,0.0,0.0,0.847,0.151,0.0,0.203
33732,9606.ENSP00000215375 (pp) 9606.ENSP00000259037,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000259037,False,pp,0.901,,0.0,0.0,0.0,0.831,0.217,0.0,0.314
34245,9606.ENSP00000306884 (pp) 9606.ENSP00000346839,pp,9606.ENSP00000306884 (pp) 9606.ENSP00000346839,False,pp,0.604,,0.0,0.0,0.0,0.042,0.0,0.0,0.604
33735,9606.ENSP00000215375 (pp) 9606.ENSP00000301457,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000301457,False,pp,0.903,,0.0,0.0,0.0,0.839,0.097,0.0,0.387
33738,9606.ENSP00000215375 (pp) 9606.ENSP00000467262,pp,9606.ENSP00000215375 (pp) 9606.ENSP00000467262,False,pp,0.922,,0.0,0.0,0.0,0.838,0.0,0.0,0.541
