SUID,shared name,shared interaction,name,selected,interaction,stringdb::score,stringdb::interspecies,stringdb::neighborhood,stringdb::fusion,stringdb::cooccurrence,stringdb::coexpression,stringdb::experiments,stringdb::databases,stringdb::textmining
200711,9606.ENSP00000393541 (pp) 9606.ENSP00000398211,pp,9606.ENSP00000393541 (pp) 9606.ENSP00000398211,False,pp,0.585,,0.0,0.0,0.0,0.056,0.057,0.54,0.107
200714,9606.ENSP00000418438 (pp) 9606.ENSP00000500990,pp,9606.ENSP00000418438 (pp) 9606.ENSP00000500990,False,pp,0.65,,0.0,0.0,0.0,0.042,0.0,0.65,0.0
200456,9606.ENSP00000273814 (pp) 9606.ENSP00000479153,pp,9606.ENSP00000273814 (pp) 9606.ENSP00000479153,False,pp,0.632,,0.0,0.0,0.0,0.078,0.618,0.0,0.0
200207,9606.ENSP00000184266 (pp) 9606.ENSP00000215375,pp,9606.ENSP00000184266 (pp) 9606.ENSP00000215375,False,pp,0.656,,0.0,0.0,0.0,0.443,0.091,0.0,0.376
200462,9606.ENSP00000273814 (pp) 9606.ENSP00000342793,pp,9606.ENSP00000273814 (pp) 9606.ENSP00000342793,False,pp,0.766,,0.0,0.0,0.0,0.0,0.0,0.65,0.359
200717,9606.ENSP00000418438 (pp) 9606.ENSP00000478766,pp,9606.ENSP00000418438 (pp) 9606.ENSP00000478766,False,pp,0.874,,0.0,0.0,0.0,0.111,0.418,0.744,0.166
200723,9606.ENSP00000418438 (pp) 9606.ENSP00000419087,pp,9606.ENSP00000418438 (pp) 9606.ENSP00000419087,False,pp,0.996,,0.0,0.0,0.0,0.198,0.812,0.967,0.37
200465,9606.ENSP00000281031 (pp) 9606.ENSP00000478766,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000478766,False,pp,0.549,,0.0,0.0,0.051,0.0,0.0,0.54,0.05
200720,9606.ENSP00000418438 (pp) 9606.ENSP00000467262,pp,9606.ENSP00000418438 (pp) 9606.ENSP00000467262,False,pp,0.994,,0.0,0.0,0.0,0.925,0.83,0.0,0.575
200471,9606.ENSP00000281031 (pp) 9606.ENSP00000317780,pp,9606.ENSP00000281031 (pp) 9606.ENSP00000317780,False,pp,0.976,,0.0,0.0,0.0,0.73,0.845,0.0,0.482
200726,9606.ENSP00000418438 (pp) 9606.ENSP00000458770,pp,9606.ENSP00000418438 (pp) 9606.ENSP00000458770,False,pp,0.999,,0.0,0.0,0.0,0.169,0.991,0.967,0.537
