gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000115474.7	KCNJ13	18.721525468413848	2.5752515301483427	0.8753534605074834	1.232806057319035e-4	0.007111878235588565
ENSG00000272927.1	ENSG00000272927	67.067898106093807	1.358913039082536	0.46469955637582483	1.2343063391293238e-4	0.007111878235588565
ENSG00000166762.19	CATSPER2	83.584108588254	1.3780977742088512	0.47487318743965445	1.2927669385327136e-4	0.007375930193921502
ENSG00000108465.15	CDK5RAP3	59.72583008784438	1.217006983157916	0.4172032368586965	1.3083008441901704e-4	0.007440323891829554
ENSG00000123364.5	HOXC13	13.708984801652964	3.078462217245136	1.0387088810237333	1.3785806103393638e-4	0.0077643787687152075
ENSG00000141933.9	TPGS1	37.586941023788135	2.455707438638624	0.8636350549432941	1.3977847708173703e-4	0.007843780614141866
ENSG00000231437.3	LINC01750	48.20720431047283	1.0437757080478212	0.3586261465462197	1.410149003635399e-4	0.00786629616168078
ENSG00000175602.4	CCDC85B	72.0158787295601	1.6683646092801616	0.5875278973794378	1.4630811737756638e-4	0.008033645717822736
ENSG00000187908.20	DMBT1	24.210746042682313	2.768800400797815	0.973785318452283	1.4568056087057175e-4	0.008033645717822736
ENSG00000188290.11	HES4	76.98593708018903	1.1664904267773473	0.4052978621296242	1.4600986243779366e-4	0.008033645717822736
ENSG00000229539.2	PANK2-AS1	78.78527176851588	1.020434330918249	0.3523059924868522	1.44789092170913e-4	0.008033645717822736
ENSG00000227827.3	PKD1P2	57.35480478086793	3.043152778899922	1.1004872662647391	1.5200865917409215e-4	0.008230028551382837
ENSG00000291044.1	ENSG00000291044	10.889087817654397	-3.7594427724649484	1.2212253918051148	1.5212851279253867e-4	0.008230028551382837
ENSG00000011201.12	ANOS1	1168.8591145818882	1.5641541163991026	0.5539218236515512	1.548046669807064e-4	0.008317664254092187
ENSG00000179698.14	WDR97	54.41792148478574	1.1577914342871174	0.40454797192547354	1.554046659501346e-4	0.008324367366307516
ENSG00000186301.8	MST1P2	41.28334646801713	1.4037186688795142	0.49525386124212956	1.6418517465139403e-4	0.0086622515638368
ENSG00000204963.6	PCDHA7	35.70311791604233	1.7882999279075247	0.6390429541815421	1.6934136435621132e-4	0.008801730973481891
ENSG00000180787.6	ZFP3	149.50702322156755	2.017938428394964	0.7374091491642767	1.8584684770200552e-4	0.009518401708620844
