gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000116132.12	PRRX1	335.5811179287562	-2.2893536336230804	0.6156586862658836	8.46816297570616e-6	2.7408879796597555e-4
ENSG00000179869.15	ABCA13	181.00082957695292	-1.5322417998144773	0.4076663971897284	8.593080580293844e-6	2.771150666113042e-4
ENSG00000117480.16	FAAH	82.68024081846193	1.1442602227041856	0.3019568680432569	8.839033783830649e-6	2.84368135950686e-4
ENSG00000145451.13	GLRA3	47.059810640747465	1.2860078589900183	0.3413054646448649	8.852178122554191e-6	2.84368135950686e-4
ENSG00000157423.18	HYDIN	169.28785381011338	-1.1636049000050364	0.30628861898320037	8.954221585982643e-6	2.86665097598428e-4
ENSG00000173110.8	HSPA6	34.486845829188304	2.6344015313328164	0.7182078583657278	9.01949499998208e-6	2.882316880429056e-4
ENSG00000101745.17	ANKRD12	366.84516990340535	-1.6140452034875648	0.4318807191206653	9.066623352405168e-6	2.8921380820330406e-4
ENSG00000151914.22	DST	2306.93453736015	-1.3021867512353331	0.3465520998196678	9.234664437319258e-6	2.924586726648325e-4
ENSG00000183876.9	ARSI	89.04807072516597	-2.1124116922356695	0.5718194162079905	9.599378983628123e-6	3.013043510163702e-4
ENSG00000166710.23	B2M	5750.953703306821	-1.256964002119327	0.335115793776978	9.664475574372803e-6	3.028087906428708e-4
ENSG00000152104.12	PTPN14	284.26022505647154	-1.4007873100535992	0.37437287071181735	9.73047911472516e-6	3.043362616733188e-4
ENSG00000245680.11	ZNF585B	124.31836893250959	-1.1545704482679886	0.30611282316049615	9.934819430121703e-6	3.097060518366189e-4
ENSG00000135842.17	NIBAN1	470.6053832275139	-1.2270686577713195	0.32652848205557006	1.001542625835629e-5	3.107244551039306e-4
ENSG00000280347.1	ENSG00000280347	44.353911957139886	-1.1540515460282559	0.3063664020410008	1.020605750592545e-5	3.1585062176232447e-4
ENSG00000048052.25	HDAC9	634.2392497732998	-1.5244920469478846	0.41121275507194693	1.049982324422219e-5	3.2380573781132764e-4
ENSG00000082684.16	SEMA5B	463.9525262208845	1.3772048195320414	0.3700218979256316	1.0601999428609756e-5	3.2581754341581197e-4
ENSG00000137812.21	KNL1	242.99216581156568	-1.639075213900839	0.44398821604747374	1.0691751631433683e-5	3.2743489371265654e-4
ENSG00000075891.24	PAX2	130.98172634522115	1.7159516843333429	0.46903619427475046	1.0996182390480736e-5	3.3559283281674776e-4
ENSG00000176171.12	BNIP3	2689.5972776740523	1.7611080799654493	0.4809626324383684	1.1283348955604191e-5	3.4081896502886634e-4
ENSG00000135916.16	ITM2C	5465.195649073027	1.023386091948423	0.27097927903632796	1.1765205224809692e-5	3.5295615674429075e-4
ENSG00000180269.8	GPR139	40.660621167817595	1.7073828055356186	0.46837336524040785	1.1905449572068682e-5	3.5493397678355626e-4
ENSG00000259684.1	ENSG00000259684	15.25867103523187	-1.741922149003102	0.4776498818949862	1.1878419875210547e-5	3.5493397678355626e-4
ENSG00000170370.12	EMX2	94.61636138398394	-2.1306206964221137	0.5858904600547162	1.2045712796308334e-5	3.571199558434941e-4
ENSG00000106123.12	EPHB6	94.04167033772785	1.1799599595748171	0.31806390506677623	1.2107884595228979e-5	3.583608796306027e-4
ENSG00000111305.19	GSG1	53.912175659205175	1.1636206104099223	0.3133718850327107	1.2143588945233298e-5	3.5881559295463213e-4
ENSG00000134042.14	MRO	22.412084650330847	-1.0549509128259684	0.2822461358628514	1.2448384315204193e-5	3.6598249886700326e-4
ENSG00000264343.7	NOTCH2NLA	31.60022728031269	-1.3063318289905583	0.354380643038828	1.2709485537237711e-5	3.724000244128634e-4
ENSG00000177694.16	NAALADL2	61.52396235034942	-1.18294446204413	0.3198826979254087	1.2945736139224802e-5	3.768362796962467e-4
ENSG00000131711.15	MAP1B	29781.3113106407	-1.0664554289968875	0.2886168873622435	1.3141913639751728e-5	3.8014625427787647e-4
ENSG00000291079.1	ENSG00000291079	32.2804473452608	-2.2271977259638285	0.6182256657045951	1.3285052897750691e-5	3.82922112935167e-4
ENSG00000180139.11	ACTA2-AS1	970.5599676048517	-2.1763385215624345	0.6057612564921969	1.3641877452145084e-5	3.912889727737224e-4
ENSG00000146038.12	DCDC2	110.88306847060575	-1.089040378700138	0.29455485379239543	1.3837239837561811e-5	3.9432780409465326e-4
