ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0050900	leukocyte migration	45/1419	396/18870	0.0036337907012660834	0.029657762447386278	0.022485123095402963	RARRES2/NBL1/CD200/CXCL10/VCAM1/GCNT1/SLC12A2/EDN1/CXCL11/CD74/ICAM1/MMP2/GREM1/GBA1/CDC42/CXCL2/ITGA2/ANO6/ITGA1/ADORA1/MYH9/ANXA1/PYCARD/MCOLN2/PTGER4/FLT1/APOD/TACR1/STK10/B4GALT1/DOCK8/SELL/F2RL1/ARHGEF5/CCN3/NEDD9/LGALS3/TGFB2/C5AR1/MMP14/CSF1/CXCL5/F11R/PGF/PLEC	45
GO:0044782	cilium organization	46/1419	407/18870	0.0036612795043003007	0.02983854873904417	0.02262218677406384	ABCC4/KIFAP3/TTC12/SSX2IP/NPHP3/CIBAR2/CFAP73/IQUB/CFAP61/AURKA/MNS1/CFAP65/CFAP74/CEP135/GAS8/KCNJ10/CIMAP3/DNAAF11/CFAP54/GMNC/CFAP91/NHERF1/PKD2/HOATZ/CEP350/LPAR1/EHD2/MAPK15/ABLIM3/ATAT1/DRC7/SPAG6/NEDD9/FLNA/DCDC2/DNAI3/DISC1/LAMA5/DNMBP/EHD4/TEKT1/CFAP46/HYDIN/SYNE2/SPAG1/ZMYND10	46
GO:0060766	negative regulation of androgen receptor signaling pathway	5/1419	15/18870	0.003785947744107607	0.03046379672797447	0.023096220444715546	DAB2/HEYL/ZBTB7A/NCOR2/FOXP1	5
GO:0090030	regulation of steroid hormone biosynthetic process	5/1419	15/18870	0.003785947744107607	0.03046379672797447	0.023096220444715546	REST/DAB2/BMP2/NR3C1/PDE8B	5
GO:0090660	cerebrospinal fluid circulation	5/1419	15/18870	0.003785947744107607	0.03046379672797447	0.023096220444715546	DNAAF11/CFAP45/CFAP54/NHERF1/DNAH9	5
GO:1900182	positive regulation of protein localization to nucleus	15/1419	93/18870	0.003852995707349798	0.030829369579846562	0.023373380617849444	DTX3L/CD2AP/PARP9/BMP4/TPR/TCF7L2/MAVS/PRKD1/FLNA/SHH/ZC3H12A/CARD10/NGFR/BAG3/TYK2	15
GO:2000106	regulation of leukocyte apoptotic process	15/1419	93/18870	0.003852995707349798	0.030829369579846562	0.023373380617849444	KIFAP3/MEF2C/CD74/BMP4/ANXA1/MERTK/ITPKB/MIAT/DOCK8/LGALS3/BCL3/CD274/FOXP1/AXL/BCL6	15
GO:0050817	coagulation	29/1419	229/18870	0.004001196576529299	0.031881042554608455	0.024170709692676994	PLSCR1/EDN1/PLAU/TLR4/PROCR/PDGFRA/ITGA2/ANO6/F3/F5/MYH9/HPS5/MERTK/HS3ST5/CSRP1/TFPI/CEACAM1/VCL/MYL12A/TLN1/F2RL1/C1QTNF1/PLAT/FLNA/SHH/FZD6/AXL/F11R/RAB27A	29
GO:0000086	G2/M transition of mitotic cell cycle	20/1419	140/18870	0.00407513465015494	0.03220522741736339	0.02441649143557289	CCND1/CLSPN/MELK/CDC6/PHOX2B/ESRRB/RBBP8/CHMP4C/DTL/KIF14/STOX1/CENPF/AURKA/NABP1/BRCA1/HSPA2/IER3/TPD52L1/CDKN1A/RRM2B	20
GO:0008360	regulation of cell shape	20/1419	140/18870	0.00407513465015494	0.03220522741736339	0.02441649143557289	MYH14/BAMBI/ATP10A/CDC42EP1/PLXND1/ARHGAP15/MYH9/ANXA1/NHERF1/DLC1/LPAR1/ARAP1/MYL12A/MYO10/PALMD/TPM1/SHROOM3/DNMBP/FES/F11R	20
GO:0010977	negative regulation of neuron projection development	20/1419	140/18870	0.00407513465015494	0.03220522741736339	0.02441649143557289	B2M/SEMA6C/NR2F1/DAB2/EFNB3/FSTL4/KIAA0319/HES1/NTN1/RNF6/KANK1/SEMA3D/SEMA3C/MYLIP/LPAR1/TRIM46/FLNA/SPP1/SEMA3G/RAB29	20
GO:0032506	cytokinetic process	9/1419	43/18870	0.004092688847955908	0.03220522741736339	0.02441649143557289	CHMP2B/ANLN/CHMP4C/MYH9/KIF20B/RTKN/ANXA11/IQGAP1/PLEC	9
GO:0046777	protein autophosphorylation	26/1419	199/18870	0.004102411095966836	0.03223726625687438	0.024440781779509535	FGFR2/RASSF2/MELK/STK17B/EIF2AK2/GPNMB/PDGFRB/UHMK1/DDR2/MAP3K20/PEAK1/GREM1/AURKA/PDGFRA/NEK6/MAP3K21/IRAK1/PRLR/FLT1/HTATIP2/STK10/NEK10/MAPK15/STK26/PRKD1/FES	26
GO:2000242	negative regulation of reproductive process	13/1419	76/18870	0.004125495155244075	0.03237407133516843	0.024544500967056983	SERPINF1/TRIP13/YBX3/BMP7/SULF1/LIF/BMP4/GJA1/SNAI1/MYH9/NPPC/PLAT/SHB	13
GO:0010332	response to gamma radiation	10/1419	51/18870	0.004171509555839389	0.03255603558969044	0.02468245772185765	TIGAR/MYC/CXCL10/MAP3K20/BRCA2/XRCC2/POLB/TMEM109/CDKN1A/EGR1	10
GO:0002832	negative regulation of response to biotic stimulus	21/1419	150/18870	0.004201908548058291	0.03270380391087661	0.024794488725456334	NMI/OAS3/IFI16/PARP14/USP18/HLA-B/ISG15/MICB/OAS1/TRIM21/TRIM38/HLA-F/NLRC5/CGAS/HLA-A/HLA-E/DHX58/CEACAM1/TNFAIP3/F2RL1/PPARG	21
GO:0035050	embryonic heart tube development	14/1419	85/18870	0.00424047688038811	0.03291417769063152	0.02495398424849945	MEF2C/NOTCH2/EDN1/NPHP3/TGFBR2/CDC42/NKX2-5/HES1/CIMAP3/PKD2/SHH/RNF207/MICAL2/ECE1	14
GO:0051591	response to cAMP	14/1419	85/18870	0.00424047688038811	0.03291417769063152	0.02495398424849945	CYP1B1/STAT1/CFTR/PKD2/FBP1/SDC1/SLC26A6/AKAP9/GATA6/KCNE1/HCN4/INHBB/VGF/CNGA3	14
GO:0006937	regulation of muscle contraction	23/1419	170/18870	0.0043546826967605905	0.03375470758834126	0.025591234555190596	EDN1/CHRNB4/ITGA2/DOCK5/NKX2-5/KCNJ2/ADORA1/CNN1/ARHGAP42/PLCE1/ADORA2B/SPHK1/TACR1/GSTO1/PRKD1/AKAP9/TPM1/ZC3H12A/RNF207/GPER1/HCN4/CASQ2/NPPA	23
GO:0002274	myeloid leukocyte activation	30/1419	241/18870	0.004452879842580786	0.034329296624220795	0.026026860986009172	NMI/IL13RA2/IFI35/CD200/RORA/NOTCH2/PLSCR1/TLR3/CD74/TGFBR2/TLR4/SNAP23/GATA2/ANXA1/PYCARD/BATF2/ADORA2B/SPHK1/SUCNR1/F2RL1/IL4R/ZC3H12A/C5AR1/CSF1/FOXP1/RELB/FES/VAMP8/ADAM9/ANXA3	30
GO:0015833	peptide transport	32/1419	262/18870	0.004526659108806918	0.034831955870513485	0.026407953627370247	REST/TAP1/TAP2/DOC2B/EDN1/CD74/CPT1A/ADORA1/ABCA1/ANXA1/TCF7L2/CFTR/ITPR1/TFAP2B/NOS2/GAL/EPHA5/SLC26A6/F2RL1/PRKD1/CCN3/TRH/CA2/FOXO1/TCIRG1/SLC16A10/GPER1/ABCC8/PDE8B/KCNJ11/INHBB/VGF	32
GO:0042711	maternal behavior	4/1419	10/18870	0.004626264264618448	0.03519045017286433	0.026679747176585552	DRD1/AVPR1A/NR3C1/NPAS1	4
GO:0044837	actomyosin contractile ring organization	4/1419	10/18870	0.004626264264618448	0.03519045017286433	0.026679747176585552	ANLN/RTKN/IQGAP1/PLEC	4
GO:0003085	negative regulation of systemic arterial blood pressure	6/1419	22/18870	0.004677197815797754	0.03543614015820211	0.02686601778865307	ADORA1/ARHGAP42/IER3/NTSR1/KCNK6/NPPA	6
GO:0034312	diol biosynthetic process	6/1419	22/18870	0.004677197815797754	0.03543614015820211	0.02686601778865307	DHFR/GBA1/SPHK1/SPR/SPTLC3/GCH1	6
GO:0006509	membrane protein ectodomain proteolysis	9/1419	44/18870	0.0048086908914617395	0.0359548906104708	0.027259310026924586	PTPN3/BACE2/MYH9/TIMP3/TIMP4/PACSIN3/ADAM19/FURIN/ADAM9	9
GO:0009409	response to cold	9/1419	44/18870	0.0048086908914617395	0.0359548906104708	0.027259310026924586	LIPA/HSPA2/GMPR/UCP1/SLC25A27/ACOT11/FOXO1/VGF/TRPA1	9
GO:0035306	positive regulation of dephosphorylation	10/1419	52/18870	0.0048240995867690995	0.035975801493487204	0.02727516367668969	PPP1R15A/MEF2C/SPPL3/PDGFRB/GBA1/ITGA1/ADORA1/BMP2/DLC1/PPP1R16B	10
GO:0060324	face development	10/1419	52/18870	0.0048240995867690995	0.035975801493487204	0.02727516367668969	ARID5B/NOG/MMP2/PDGFRA/STRA6/CSRNP1/LEF1/TIPARP/RARG/HOXB3	10
GO:0030201	heparan sulfate proteoglycan metabolic process	5/1419	16/18870	0.005169665313041875	0.038055407239875993	0.028851823118898556	HS6ST3/HS3ST3A1/HS3ST3B1/SULF1/HS3ST5	5
GO:0046653	tetrahydrofolate metabolic process	5/1419	16/18870	0.005169665313041875	0.038055407239875993	0.028851823118898556	DHFR/MTR/SHMT1/MTHFD1/GCH1	5
GO:0048532	anatomical structure arrangement	5/1419	16/18870	0.005169665313041875	0.038055407239875993	0.028851823118898556	KCNA2/PAX2/KIF14/TFAP2A/HOXB2	5
GO:0051969	regulation of transmission of nerve impulse	5/1419	16/18870	0.005169665313041875	0.038055407239875993	0.028851823118898556	CHRNB4/AVPR1A/GBA1/ITGA2/GLRA1	5
GO:0045862	positive regulation of proteolysis	40/1419	350/18870	0.005328178419226171	0.03887117376174592	0.029470298996635263	REST/IFI16/MYC/SH3RF1/TMTC3/TRIB2/DAB2/UACA/CNTN2/PMAIP1/GBA1/AURKA/RNF217/MAPK12/F3/RNF144B/CLDN4/MYH9/TNFSF10/PYCARD/ROCK2/FAS/NOD1/DLC1/PERP/CTSV/EGLN3/DISC1/PACSIN3/ZC3H12A/MELTF/SPON1/PPARG/MMP14/GPER1/FURIN/ADAM9/NGFR/TRIM67/PIDD1	40
GO:0010863	positive regulation of phospholipase C activity	8/1419	37/18870	0.005415551089863189	0.03910850502236645	0.02965023241605309	PDGFRB/FGF2/AVPR1A/LPAR2/PDGFRA/FLT1/LPAR1/C5AR1	8
GO:0033280	response to vitamin D	8/1419	37/18870	0.005415551089863189	0.03910850502236645	0.02965023241605309	BMP7/CXCL10/TRIM25/TNC/SNAI2/SPP1/KANK2/FES	8
GO:0044546	NLRP3 inflammasome complex assembly	8/1419	37/18870	0.005415551089863189	0.03910850502236645	0.02965023241605309	NEK7/EIF2AK2/TLR4/GBP5/PYCARD/MAVS/ATAT1/PRKD1	8
