ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0043410	positive regulation of MAPK cascade	4/9	474/18870	4.481053452634265e-5	0.021534266892415974	0.009619464644555566	GADD45B/LIF/FLT1/EDN1	4
GO:0035994	response to muscle stretch	2/9	25/18870	6.0320075328896283e-5	0.021534266892415974	0.009619464644555566	ANKRD1/EDN1	2
GO:0045214	sarcomere organization	2/9	45/18870	1.9807361888938047e-4	0.047141521295672555	0.021058353166134136	ANKRD1/EDN1	2
