gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000132437.18	DDC	1105.7962654712871	1.4203108839111187	0.1584959789802473	2.2593019388169865e-20	3.3493225299544277e-18
ENSG00000152785.8	BMP3	185.40136761464055	2.152581469049726	0.24113703368238965	2.7002924539079444e-20	3.97052758710399e-18
ENSG00000135903.20	PAX3	134.82890541787128	-2.6673080017980095	0.29888344792755406	2.803713090048475e-20	4.089351205372316e-18
ENSG00000069011.16	PITX1	117.29626183260743	3.067573974966132	0.3428128073838024	2.863570433681852e-20	4.11035990980714e-18
ENSG00000086696.11	HSD17B2	285.32401598918875	-2.1565671151446857	0.24191608626494276	2.848950338567212e-20	4.11035990980714e-18
ENSG00000081479.15	LRP2	5709.947003707567	-1.0118780296872407	0.11355114795511989	4.2869155122905096e-20	6.1049727523847366e-18
ENSG00000141668.10	CBLN2	1078.1876344649495	1.2244640358610157	0.1376405078038613	4.3833855449841824e-20	6.193586794264369e-18
ENSG00000213967.12	ZNF726	79.52389107234457	4.491285387984214	0.5017935491671287	5.777811411657084e-20	8.10058117761473e-18
ENSG00000130150.12	MOSPD2	855.5942967572129	1.176498665708264	0.1328107650692456	6.265191654796762e-20	8.716327405281095e-18
ENSG00000121691.7	CAT	340.2621617501172	6.780298295746447	0.7711633026355348	8.030027707806306e-20	1.1002354630559457e-17
ENSG00000187955.13	COL14A1	562.9645656328009	1.3961655370844406	0.1586894553253256	9.528135580861247e-20	1.2956831587628308e-17
ENSG00000198719.9	DLL1	789.7470734376019	-1.196953331812604	0.13601208626589484	9.987215471851082e-20	1.3479759628649155e-17
ENSG00000147041.12	SYTL5	390.7546478918179	1.5675147216043388	0.17846762726356538	1.0287084923800137e-19	1.3781645772729577e-17
ENSG00000248905.10	FMN1	201.70010338783501	-2.3092178153696943	0.26481886736003685	1.471660822578317e-19	1.9570924733199593e-17
