ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0014821	phasic smooth muscle contraction	6/467	24/18870	2.049921401572089e-5	6.45887933669936e-4	5.260951165939397e-4	TBX3/KIT/TBX2/P2RX3/NEUROG1/EDN3	6
GO:0046189	phenol-containing compound biosynthetic process	8/467	48/18870	2.0964981907073192e-5	6.553620328431541e-4	5.338120548572636e-4	NR4A2/DDC/TGFB2/OCA2/TYR/MOXD1/CDH3/INSM1	8
GO:2000179	positive regulation of neural precursor cell proliferation	9/467	63/18870	2.3316242449137723e-5	7.231678322115372e-4	5.89041914504532e-4	NES/DMRTA2/HAPLN1/LRP2/SHH/NR2E1/OTP/INSM1/VEGFA	9
GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	15/467	171/18870	2.384284481038729e-5	7.337681697460274e-4	5.976762077316177e-4	H19/HGF/IGF2/KIT/LRP2/TGFB2/UNC5B/RET/ROR1/CALCR/KDR/ANGPT1/PDGFB/NOX4/LIN28A	15
GO:0018958	phenol-containing compound metabolic process	12/467	114/18870	2.5809192933218524e-5	7.762310298854359e-4	6.322634823831524e-4	NR4A2/DDC/SLC16A10/TGFB2/OCA2/CGA/TYR/MOXD1/HTR1A/CDH3/INSM1/CYP2E1	12
GO:0002053	positive regulation of mesenchymal cell proliferation	6/467	25/18870	2.641188351548573e-5	7.881772952039894e-4	6.419940742056623e-4	PRRX1/SHOX2/SHH/KDR/SIX1/TBX1	6
GO:0048545	response to steroid hormone	22/467	330/18870	2.736507056369448e-5	8.047357787990155e-4	6.554814563093134e-4	PCSK1/SFRP1/CPS1/PMEPA1/TGFB2/PTPRU/INHBA/TFPI/GPR83/PAPPA/CALCR/BCHE/CLDN1/PTPRC/RXRG/SST/NR2E1/AQP1/COL1A1/HTR1B/PTGER2/OR51E2	22
GO:0050678	regulation of epithelial cell proliferation	25/467	407/18870	3.1228743059952266e-5	9.049497076497117e-4	7.371087105660651e-4	EMC10/IGF2/SFRP1/NGFR/TGFB2/ALDH1A2/CXCL12/SHH/BCL11B/EPPK1/RUNX2/CLDN1/KDR/FUT1/CDH13/APOE/CDH3/PDGFB/SGPP2/OSR1/SIX1/VEGFD/VEGFA/HOXA5/TBX1	25
GO:0097152	mesenchymal cell apoptotic process	5/467	16/18870	3.1672500181029825e-5	9.111581573818e-4	7.421656792991887e-4	POU3F4/SHH/MSX1/HOXA13/TBX1	5
GO:0001764	neuron migration	15/467	177/18870	3.5723600759888386e-5	0.0010058347164309	8.192825795772836e-4	RELN/POU4F1/FLRT2/SEMA3A/CHL1/SOX1/NR4A2/ATOH1/CXCL12/CNTN2/NEUROD4/TLX3/EMX2/BARHL1/VEGFA	15
GO:1902075	cellular response to salt	16/467	199/18870	3.769572782292819e-5	0.0010538876018100346	8.584230976429608e-4	SYT3/LY6H/SLC1A3/SHH/RGS8/P2RX3/NPTX1/CLDN1/CPNE4/PDGFB/COL1A1/OPRM1/MAPK13/SIX1/CHRNA3/DPEP1	16
GO:0007605	sensory perception of sound	14/467	158/18870	3.9646879996296365e-05	0.001085504231622735	8.841757920045187e-4	KIT/POU3F4/MYH14/PAX3/LRP2/SLC1A3/ASIC2/ROR1/LHFPL3/COL11A1/COL1A1/SIX1/BARHL1/TBX1	14
GO:0010720	positive regulation of cell development	26/467	444/18870	4.871067870535344e-5	0.0012961476007312663	0.0010557511413088825	RELN/POU4F1/PDE5A/KIT/DMRTA2/SHOX2/CRABP2/SOX8/HAPLN1/LRP2/CXCL12/SHH/MME/RET/HOXA11/OLIG2/PTPRC/TP73/NR2E1/TESC/OPRM1/OTP/TNFSF9/LIF/VEGFA/GSX2	26
