ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0061448	connective tissue development	28/548	285/18870	2.0181274551402645e-8	4.411050009092293e-6	3.414125394034282e-6	NOG/BMP6/SULF1/LIPA/WNT2B/BMP2/TRIP11/GATA3/PDGFRB/SOX6/MSX1/ITGB8/EGR1/SIX2/PRRX1/NFIA/BMP4/ACTA2/COL2A1/BGN/GREM1/HOXB3/CCN1/RSPO2/EDN1/GDF6/GDF7/NPPC	28
GO:0070169	positive regulation of biomineral tissue development	12/548	54/18870	3.6016067929460676e-8	6.528872871921383e-6	5.053307176409739e-6	FBN2/ISG15/BMP6/BMP2/P2RX7/CFTR/BMP4/NELL1/KL/CCN1/TFAP2A/TMEM119	12
GO:0030501	positive regulation of bone mineralization	11/548	44/18870	3.606602942436445e-8	6.528872871921383e-6	5.053307176409739e-6	FBN2/ISG15/BMP6/BMP2/P2RX7/BMP4/NELL1/KL/CCN1/TFAP2A/TMEM119	11
GO:0051216	cartilage development	23/548	207/18870	3.926655389727769e-8	6.528872871921383e-6	5.053307176409739e-6	NOG/BMP6/SULF1/WNT2B/BMP2/TRIP11/GATA3/SOX6/MSX1/ITGB8/SIX2/PRRX1/NFIA/BMP4/COL2A1/BGN/GREM1/HOXB3/CCN1/RSPO2/EDN1/GDF6/NPPC	23
GO:0007409	axonogenesis	36/548	448/18870	3.9549479926016774e-8	6.528872871921383e-6	5.053307176409739e-6	SLITRK6/PRICKLE1/NOG/GOLGA4/FGFR2/LHX2/GATA3/NEFH/SLIT2/KIAA0319/OTX2/NIN/PLXNC1/GBX2/MACF1/NEXN/SLIT3/PHOX2B/SEMA5B/PAX2/EPHB6/MAP1B/ROBO3/COBL/LGI1/LMX1A/NPTX1/MT3/PRKCQ/SEMA3B/EDN1/FN1/GDF7/SEMA3C/PLXND1/LPAR3	36
GO:0035107	appendage morphogenesis	19/548	146/18870	4.810520009122705e-8	6.737589870180771e-6	5.214852840697191e-6	PRICKLE1/NOG/FBN2/DYNC2H1/FGFR2/MSX1/ATRX/NIPBL/PRRX1/NFIA/BMP4/COL2A1/RDH10/GREM1/CYP26B1/TFAP2B/RSPO2/TFAP2A/SEMA3C	19
GO:0035108	limb morphogenesis	19/548	146/18870	4.810520009122705e-8	6.737589870180771e-6	5.214852840697191e-6	PRICKLE1/NOG/FBN2/DYNC2H1/FGFR2/MSX1/ATRX/NIPBL/PRRX1/NFIA/BMP4/COL2A1/RDH10/GREM1/CYP26B1/TFAP2B/RSPO2/TFAP2A/SEMA3C	19
GO:0001667	ameboidal-type cell migration	38/548	497/18870	6.111738008054747e-8	8.250846310873907e-6	6.38610395578476e-6	KLF4/GATA2/DDR2/SP100/GATA3/ROCK2/TACR1/ITGA2/SLIT2/ANXA3/FERMT1/GBX2/ADTRP/MACF1/PHOX2B/HDAC9/SEMA5B/MET/BMP4/ACTA2/SERPINF1/CCBE1/GREM1/FOLR1/TNS1/EPPK1/EPB41L4B/MYH9/AGT/SEMA3B/ID1/EDN1/FN1/SEMA3C/DAAM2/PLXND1/EGR3/CTSH	38
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	25/548	248/18870	7.036999842660026e-8	9.131831686689774e-6	7.067981181648433e-6	DRD1/CALCA/CXCL10/ADCY2/GPR157/MRAP/CALCB/CNR1/GRM1/ADGRD1/ADRA2A/PTH2R/MRAP2/NPY2R/OPRK1/DRD4/PTGER3/CXCL11/GPR26/OPRM1/LGR5/EDN1/GPR12/GRIK3/LPAR3	25
GO:0030198	extracellular matrix organization	29/548	321/18870	7.162220930737078e-8	9.131831686689774e-6	7.067981181648433e-6	PRICKLE1/ELN/SULF1/NDNF/NID2/DDR2/BMP2/SLC39A8/PDGFRA/FERMT1/WDR72/EGFL6/ADTRP/COLGALT2/COL8A2/COL18A1/COL15A1/COL2A1/HMCN1/GREM1/COL19A1/ZNF469/AGT/MMP19/CCN1/MMP14/CRISPLD2/MFAP4/COL7A1	29
GO:0009952	anterior/posterior pattern specification	23/548	219/18870	1.1154826195453143e-7	1.2800163059282481e-5	9.907246949909042e-6	PRICKLE1/NOG/ATM/WNT2B/BMP2/MEOX1/OTX2/MSX1/GBX2/BPTF/SIX2/EMX2/HES2/COBL/OTX1/WNT1/BMP4/PCDH8/HOXB2/PCSK6/HOXB1/HOXB3/SEMA3C	23
GO:0030900	forebrain development	33/548	407/18870	1.1936025342276399e-07	1.336252593196309e-5	1.0342512331240783e-5	NOG/SSTR1/DRD1/DYNC2H1/WNT2B/NDNF/GATA2/SYNE2/BMP2/FGFR2/LHX2/SLIT2/ANXA3/OTX2/NIN/MSX1/ATRX/GBX2/KIF14/B2M/BNIP3/EMX2/NOTCH2NLA/KIF26A/OTX1/WNT1/BMP4/LMX1A/NEUROD6/ASPM/SLC32A1/GDF7/TH	33
GO:0033273	response to vitamin	14/548	86/18870	1.710888536321495e-7	1.745106307047925e-5	1.3507014760432856e-5	LRAT/LIPA/CXCL10/ITGA2/BRIP1/MAP1B/F5/NFKBIZ/SOD2/FOLR1/CYP26B1/KL/CYP26A1/PENK	14
GO:0001666	response to hypoxia	27/548	298/18870	1.912471451321895e-7	1.9083139046885866e-5	1.4770231460437979e-5	MYC/ATM/NDNF/DDR2/BMP2/FGFR2/ROCK2/ITGA2/KCNK3/KCNK2/BRIP1/EGR1/RORA/BNIP3/HSPG2/SLC8A3/FOS/SOD2/MT3/MMP14/PENK/EDN1/DDIT4/ITPR2/NPPC/ANG/TH	27
GO:0042391	regulation of membrane potential	34/548	440/18870	2.400354215085953e-7	2.2953387181759427e-5	1.776577955244538e-5	DRD1/IFI6/LIPA/AKAP9/SLC39A8/KCNH1/TACR1/KCNK3/KCNK2/CNR1/GRM1/P2RX7/CFTR/PHOX2B/GLRA3/BNIP3/PIEZO1/KCNA4/RGS4/CHRFAM7A/HCN1/SLC8A3/INSYN2B/NTSR1/SOD2/DRD4/GABRA1/GABRD/NPPA/KCNK13/EDN1/GRIK3/CNGB1/DSP	34
GO:0045165	cell fate commitment	26/548	286/18870	3.0188554344675497e-7	2.8278666212665417e-5	2.1887512548502642e-5	DBX1/WNT2B/KLF4/TENM4/MITF/BHLHE22/GATA2/BMP2/FGFR2/TCF7L2/GATA3/SOX6/SIX2/PRRX1/PAX2/NFIA/WNT1/BMP4/LBX1/CYP26B1/EDN1/TEAD4/TLX3/GDF7/OLIG1/ONECUT2	26
GO:0048706	embryonic skeletal system development	16/548	128/18870	9.547211947634672e-7	7.427407260956466e-5	5.748767229842465e-5	NOG/SULF1/KIAA1217/FGFR2/PDGFRA/SIX2/NIPBL/PRRX1/BMP4/COL2A1/RDH10/HOXB2/HOXB1/HOXB3/MMP14/TFAP2A	16
GO:0051146	striated muscle cell differentiation	26/548	305/18870	1.0366754889506653e-6	7.93056749047259e-5	6.138210131944729e-5	PRICKLE1/ATP11A/CXCL10/BMP2/KCNH1/NRAP/PDGFRB/PDGFRA/SOX6/MSX1/LMOD1/HDAC9/PIEZO1/RGS4/WNT1/BMP4/GREM1/KRT19/CYP26B1/MYH9/ACTC1/NOX4/MMP14/PGM5/EDN1/TMEM119	26
GO:0019079	viral genome replication	16/548	131/18870	1.3067215764404248e-6	9.832544321084509e-5	7.610328421892034e-5	OASL/OAS1/MX1/IFI27/RSAD2/OAS2/BST2/ISG15/EIF2AK2/IFIH1/IFIT1/PLSCR1/OAS3/NFIA/TRIM38/IFI16	16
GO:0090189	regulation of branching involved in ureteric bud morphogenesis	7/548	21/18870	1.3683127212804661e-6	1.012992804947958e-4	7.840501586284505e-5	NOG/WNT2B/SIX2/PAX2/BMP4/GREM1/AGT	7
GO:0060537	muscle tissue development	32/548	433/18870	1.4378526258769193e-6	1.0475783417103269e-4	8.108191499305937e-5	PRICKLE1/NOG/ELN/TENM4/BMP2/FGFR2/CENPF/NRAP/PDGFRB/PDGFRA/SOX6/MSX1/KCNK2/EGR1/PHOX2B/HDAC9/RGS4/BMP4/FOS/GREM1/COL19A1/CYP26B1/FLNB/ACTC1/NOX4/MYLK/PGM5/TFAP2B/NPPA/EDN1/SEMA3C/DSP	32
GO:0034340	response to type I interferon	13/548	89/18870	1.6935774571524128e-6	1.1778061406559963e-4	9.116146599504614e-5	OAS1/MX1/IFI27/OAS2/ISG15/IFIH1/IFIT1/STAT1/SP100/OAS3/USP18/RBM47/NLRC5	13
GO:0001975	response to amphetamine	8/548	31/18870	2.1026809977511016e-6	1.3906059142926614e-4	1.0763203670995832e-4	DRD1/PDE1B/SLC18A2/HDAC9/RGS4/DRD4/EDN1/TH	8
GO:0060572	morphogenesis of an epithelial bud	6/548	15/18870	2.3366863886245383e-6	1.51061838363192e-4	1.1692092752569041e-4	NOG/SULF1/WNT2B/FGFR2/BMP4/RDH10	6
