ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0009410	response to xenobiotic stimulus	34/672	434/18870	1.5776673843378058e-5	6.357464756378191e-4	5.003218154612756e-4	MYC/PRICKLE1/STAT1/LIPA/DRD1/CENPF/ITGA2/KCNK3/SLCO1A2/RORA/COL18A1/HSPG2/CYP26B1/MAP1B/SOD2/EMX2/FOS/TFAP2B/NFKBIZ/P2RX7/CDH3/CYP26A1/SEMA3C/ABCC8/ABCA1/EDN1/NPAS2/SST/TGFBR2/LOX/FOSB/COL1A1/TH/FOSL2	34
GO:0048659	smooth muscle cell proliferation	19/672	175/18870	1.6119048931797534e-5	6.440846863083804e-4	5.068838474351192e-4	STAT1/ELN/DDR2/BMP2/TCF7L2/FGFR2/ITGA2/PDGFRB/MYOCD/PDE1A/TACR1/BMP4/SOD2/TPM1/EDN1/CNN1/CCN3/ANG/MAP3K5	19
GO:0010463	mesenchymal cell proliferation	9/672	44/18870	2.024549744164062e-5	7.826613035365947e-4	6.159413213952281e-4	MYC/STAT1/BMP2/FGFR2/PRRX1/SIX2/MSX1/BMP4/TGFBR2	9
GO:0031349	positive regulation of defense response	36/672	480/18870	2.2900960389566967e-5	8.574335956881175e-4	6.747858614580237e-4	OASL/OAS1/DDX60/RSAD2/EIF2AK2/SUCNR1/COLEC12/PLSCR1/IFIH1/TNFRSF11A/OAS3/CNR1/DHX58/RBM47/POLR3G/PARP9/HLA-F/PTGER3/RASGRP1/NFKBIZ/AGT/RNF125/EMILIN2/TRIM56/GBP2/PIK3AP1/IFI35/NPAS2/IFI16/PENK/SMPDL3B/NLRC5/CYBA/NMI/VAMP8/GRPR	36
GO:0051602	response to electrical stimulus	9/672	45/18870	2.4514997900236645e-5	9.106938673095722e-4	7.16700802099846e-4	PRICKLE1/AKAP9/GRM1/TACR1/RPE65/SOD2/NEUROD2/P2RX7/TH	9
GO:0140888	interferon-mediated signaling pathway	14/672	107/18870	2.6330152382950744e-5	9.630759583148523e-4	7.579246293229952e-4	OAS1/IFI27/OAS2/ISG15/STAT1/IFIH1/SP100/OAS3/USP18/RBM47/PARP14/PARP9/TRIM56/NLRC5	14
GO:0043270	positive regulation of monoatomic ion transport	21/672	214/18870	2.7613287566604984e-5	9.90591600521915e-4	7.795789783287195e-4	LRRC55/DRD1/AKAP9/TRPC3/CXCL10/PDGFRB/CFTR/NTSR1/STAC/DRD4/NPPA/OPRK1/ADRA2A/P2RX7/MYLK/CXCL11/ATP2C2/ABCC8/EDN1/NHERF1/JPH2	21
GO:0060541	respiratory system development	21/672	214/18870	2.7613287566604984e-5	9.90591600521915e-4	7.795789783287195e-4	NOG/LIPA/BMP2/FGFR2/PHOX2B/PDGFRA/WNT2B/MYOCD/HYDIN/MSX1/BMP4/RDH10/MMP14/CRISPLD2/CCBE1/CTSH/LEF1/TGFBR2/LOX/EPAS1/FOSL2	21
GO:0001701	in utero embryonic development	31/672	392/18870	3.101283494444906e-5	0.0010843090453004065	8.533330358166905e-4	NOG/ATP11A/KLF4/BMP2/FGFR2/GATA2/PDGFRA/GATA3/BRCA2/MSX1/BPTF/RDH10/SH3PXD2A/TTPA/EOMES/KRT19/MYH9/CCN1/DSC3/AGBL4/TEAD4/EDN1/HSD17B2/LEF1/TGFBR2/SOCS3/KRT8/EPAS1/TENT5C/RSPO3/WNT3A	31
GO:0051347	positive regulation of transferase activity	32/672	414/18870	3.626082692726014e-5	0.0012142269861909996	9.55576276696885e-4	MYC/PKIB/KLF4/DDR2/FGFR2/PDGFRA/PDGFRB/TNFRSF11A/CCDC88A/EGR1/KIF14/CENPE/MET/GREM1/RASGRP1/DRD4/AGT/PRKCQ/ADRA2A/CCN1/NOX4/CLSPN/EDN1/PLAAT4/ANG/MAP3K5/TGFBR2/TPD52L1/MT3/CD4/CALCA/CD74	32
GO:0060840	artery development	14/672	111/18870	3.993361993856583e-5	0.0013186414083880594	0.001037748676035099	NOG/PRICKLE1/PDGFRB/MYOCD/PRRX1/BMP4/TFAP2B/MYLK/PLXND1/FOLR1/SMAD6/EDN1/TGFBR2/LOX	14
GO:0048660	regulation of smooth muscle cell proliferation	18/672	171/18870	4.0533236365377486e-5	0.001329210613223241	0.001046066463004842	STAT1/ELN/DDR2/BMP2/TCF7L2/FGFR2/ITGA2/PDGFRB/MYOCD/PDE1A/TACR1/BMP4/SOD2/TPM1/EDN1/CNN1/ANG/MAP3K5	18
GO:0001558	regulation of cell growth	32/672	417/18870	4.1692662131062523e-5	0.0013578671810493307	0.0010686187013404995	BST2/GOLGA4/ST7L/KIAA0319/MYOCD/MACF1/KIF14/MSX1/SLIT3/MAP1B/KIF26A/GREM1/LMX1A/LGI1/SEMA5B/PAPPA2/AGT/PRKCQ/SEMA3B/MMP14/IGFBP7/SPHK1/SEMA3C/KRT17/FN1/EDN1/CCN3/CRYAB/MT3/DAB2/IGFBP4/WNT3A	32
